# %ECSV 1.0
# ---
# datatype:
# - {name: AperName, datatype: string}
# - {name: siaf_index, datatype: int64}
# - {name: exponent_x, datatype: int64}
# - {name: exponent_y, datatype: int64}
# - {name: Sci2IdlX, datatype: float64}
# - {name: Sci2IdlY, datatype: float64}
# - {name: Idl2SciX, datatype: float64}
# - {name: Idl2SciY, datatype: float64}
# meta: !!omap
# - comments: [NIRCAM distortion coefficient file, 'Source file: jw01144001001_02101_00001_nrcalong_cal.fits', 'Aperture: NRCA5_FULL',
#     'Filter/Pupil: F356W/CLEAR', 'Generated 2022-03-16T15:00:19.678 utc', by verap, '']
# schema: astropy-2.0
#
  AperName , siaf_index , exponent_x , exponent_y ,                Sci2IdlX ,                Sci2IdlY ,                Idl2SciX ,                Idl2SciY
NRCA5_FULL ,         00 ,          0 ,          0 ,                     0.0 ,                     0.0 ,                     0.0 ,                     0.0
NRCA5_FULL ,         10 ,          1 ,          0 ,     0.06275253794104341 ,  -9.589313928470353e-05 ,      15.935298332374005 ,     0.02395355868600179
NRCA5_FULL ,         11 ,          0 ,          1 ,                     0.0 ,     0.06305516044786831 ,                     0.0 ,       15.85878299462553
NRCA5_FULL ,         20 ,          2 ,          0 ,    1.20924172967392e-07 ,  3.0932507025919826e-07 ,  -0.0004748270529285803 ,   -0.001248426083693044
NRCA5_FULL ,         21 ,          1 ,          1 ,  -7.232300185697794e-07 ,  2.2071054796772063e-07 ,   0.0029194404217535623 ,  -0.0008705315544773669
NRCA5_FULL ,         22 ,          0 ,          2 ,  -9.237571096783132e-08 , -4.2973063088300525e-07 ,   0.0003711739013649774 ,   0.0017167646257459036
NRCA5_FULL ,         30 ,          3 ,          0 ,  1.0005886078418175e-10 ,  -3.952532684654262e-12 ,  -6.556403930880452e-06 ,  3.7441563277098535e-07
NRCA5_FULL ,         31 ,          2 ,          1 ,   6.284534486065163e-13 ,   1.067035718166265e-10 ,  -5.276589633383714e-07 ,  -7.422635152069639e-06
NRCA5_FULL ,         32 ,          1 ,          2 ,  1.0474796251178178e-10 ,   8.162676910178793e-12 , -5.9357634654350945e-06 , -1.0827964804128623e-06
NRCA5_FULL ,         33 ,          0 ,          3 ,  -1.420642663034591e-12 ,  1.0636115754994296e-10 ,   1.407219504882777e-07 ,  -6.345050286023912e-06
NRCA5_FULL ,         40 ,          4 ,          0 ,  -6.923880882713035e-16 ,    5.03925082663498e-15 ,  1.6319493041751943e-09 , -3.2749087898569718e-09
NRCA5_FULL ,         41 ,          3 ,          1 ,   -8.25679596675708e-15 ,  2.7102312119590517e-15 ,   3.966958966706063e-09 , -1.3754583653689062e-09
NRCA5_FULL ,         42 ,          2 ,          2 ,  -4.552383304366943e-16 , -1.8794503062667222e-15 ,   1.084102007508062e-09 ,  -5.284335485210033e-10
NRCA5_FULL ,         43 ,          1 ,          3 ,  -6.596323164137478e-15 ,   3.995410429569541e-15 ,  1.6510063040381009e-09 ,  -2.329258255146508e-09
NRCA5_FULL ,         44 ,          0 ,          4 ,  -7.874043092398135e-15 ,   2.948841688359104e-15 ,   7.192726619708121e-09 ,  -5.891841399559011e-09
NRCA5_FULL ,         50 ,          5 ,          0 ,   2.434746413613376e-18 ,   2.346989995369386e-18 ,  -5.222977699138813e-11 ,  -6.796321548282289e-11
NRCA5_FULL ,         51 ,          4 ,          1 ,  5.1034338530917915e-18 ,  -2.040220793348842e-18 ,  -9.511904005053411e-11 ,   3.096836152893758e-11
NRCA5_FULL ,         52 ,          3 ,          2 ,   4.248446818098859e-18 ,  -5.916479630543566e-18 ,  -3.675407270017761e-11 ,   7.862987670733895e-11
NRCA5_FULL ,         53 ,          2 ,          3 ,   7.588464036361403e-18 ,  1.8837066990817545e-18 ,  -1.282394365065372e-10 ,  -9.263400309341749e-12
NRCA5_FULL ,         54 ,          1 ,          4 ,   7.741590470400721e-18 ,  -9.297665938610973e-18 , -1.0562563850003053e-10 ,  1.3550389538482192e-10
NRCA5_FULL ,         55 ,          0 ,          5 ,  4.0652991950854374e-18 , -2.1732590644936085e-18 , -4.3421633124415366e-11 ,   3.096531484695803e-11

