# NIRCam distortion reference file for SIAF

# Aperture: NRCA5_FULL_WEDGE_RND

# 
# Coefficients based on A. Rest and J. Girard astrometric analysis limited to stars behind the COM 
# 
# Generated 2023-10-05T16:00:00.0 utc
# by gennaro
# 
            AperName , siaf_index , exponent_x , exponent_y ,                Sci2IdlX ,                Sci2IdlY ,                Idl2SciX ,                Idl2SciY
NRCA5_FULL_WEDGE_RND ,         00 ,          0 ,          0 ,        0.0000000000e+00 ,        0.0000000000e+00 ,       0.0000000000e+00  ,        0.0000000000e+00
NRCA5_FULL_WEDGE_RND ,         10 ,          1 ,          0 ,        5.9982174507e-02 ,       -3.7807568860e-03 ,       1.6549965025e+01  ,        8.6058333906e-01
NRCA5_FULL_WEDGE_RND ,         11 ,          0 ,          1 ,        5.7268651859e-04 ,        6.4903311861e-02 ,      -1.2784310745e-01  ,        1.5509514551e+01
NRCA5_FULL_WEDGE_RND ,         20 ,          2 ,          0 ,       -2.5805620515e-07 ,       -2.7338159853e-06 ,       1.2019378775e-03  ,        1.0292506067e-02
NRCA5_FULL_WEDGE_RND ,         21 ,          1 ,          1 ,        1.4444145074e-05 ,        2.1523808521e-05 ,      -4.8177021047e-02  ,       -7.7177433528e-02
NRCA5_FULL_WEDGE_RND ,         22 ,          0 ,          2 ,       -3.3461619775e-06 ,       -1.1209818603e-05 ,       1.1940807302e-02  ,        3.4488944544e-02
NRCA5_FULL_WEDGE_RND ,         30 ,          3 ,          0 ,        4.5952149306e-11 ,        1.6645571693e-10 ,      -1.6455087442e-05  ,       -1.0413076622e-05
NRCA5_FULL_WEDGE_RND ,         31 ,          2 ,          1 ,        1.6575123132e-09 ,        1.5586472018e-08 ,      -1.1984317797e-04  ,       -9.2443860934e-04
NRCA5_FULL_WEDGE_RND ,         32 ,          1 ,          2 ,       -3.5393440508e-08 ,       -4.4991130923e-08 ,       1.8753646191e-03  ,        2.5427290077e-03
NRCA5_FULL_WEDGE_RND ,         33 ,          0 ,          3 ,        6.4698519700e-09 ,        2.2770665297e-08 ,      -3.6319090331e-04  ,       -1.1134576220e-03
NRCA5_FULL_WEDGE_RND ,         40 ,          4 ,          0 ,        9.7780849027e-14 ,       -4.3102952760e-13 ,      -1.0074833878e-07  ,        3.4832288523e-07
NRCA5_FULL_WEDGE_RND ,         41 ,          3 ,          1 ,        2.0201025992e-13 ,       -9.7180714549e-13 ,       4.3616113888e-07  ,        9.3636834220e-07
NRCA5_FULL_WEDGE_RND ,         42 ,          2 ,          2 ,       -2.4182311260e-12 ,       -2.4317919016e-11 ,       2.7973579212e-06  ,        2.2590506877e-05
NRCA5_FULL_WEDGE_RND ,         43 ,          1 ,          3 ,        3.7407298440e-11 ,        4.1925330638e-11 ,      -3.1667417874e-05  ,       -3.7466767580e-05
NRCA5_FULL_WEDGE_RND ,         44 ,          0 ,          4 ,       -5.5552808997e-12 ,       -2.0181263403e-11 ,       4.9123077852e-06  ,        1.5777074771e-05
NRCA5_FULL_WEDGE_RND ,         50 ,          5 ,          0 ,        6.8360825504e-18 ,        1.0551215112e-16 ,      -1.5512110057e-10  ,       -1.5553258725e-09
NRCA5_FULL_WEDGE_RND ,         51 ,          4 ,          1 ,       -1.2913063641e-16 ,        7.2882903108e-16 ,       2.1064652563e-09  ,       -9.3018219883e-09
NRCA5_FULL_WEDGE_RND ,         52 ,          3 ,          2 ,       -1.5964744156e-16 ,        9.3827438426e-16 ,      -5.0194051725e-09  ,       -1.4283334535e-08
NRCA5_FULL_WEDGE_RND ,         53 ,          2 ,          3 ,        1.2195633186e-15 ,        1.2395661246e-14 ,      -2.2490934919e-08  ,       -1.8219737592e-07
NRCA5_FULL_WEDGE_RND ,         54 ,          1 ,          4 ,       -1.4658757260e-14 ,       -1.4621541767e-14 ,       1.9974456118e-07  ,        2.0703570262e-07
NRCA5_FULL_WEDGE_RND ,         55 ,          0 ,          5 ,        1.7587348318e-15 ,        6.6309133741e-15 ,      -2.4467670004e-08  ,       -8.3406658112e-08
